X  CH2  CH3  Start  Increment  
Sequence  Volt  Volt  -1.200000e-03  2.000000e-06  
363  0.28  -0.016  -0.000474  2e-06  
364  0.24  -0.0164  -0.000472  2e-06  
365  0.32  -0.0156  -0.00047  2e-06  
366  0.28  -0.0168  -0.000468  2e-06  
367  0.36  -0.0152  -0.000466  2e-06  
368  0.36  -0.0156  -0.000464  2e-06  
369  0.32  -0.0144  -0.000462  2e-06  
370  0.32  -0.0144  -0.00046  2e-06  
371  0.4  -0.0132  -0.000458  2e-06  
372  0.44  -0.0136  -0.000456  2e-06  
373  0.36  -0.012  -0.000454  2e-06  
374  0.4  -0.0124  -0.000452  2e-06  
375  0.48  -0.0108  -0.00045  2e-06  
376  0.44  -0.0112  -0.000448  2e-06  
377  0.52  -0.01  -0.000446  2e-06  
378  0.44  -0.01  -0.000444  2e-06  
379  0.52  -0.0088  -0.000442  2e-06  
380  0.48  -0.0088  -0.00044  2e-06  
381  0.56  -0.0076  -0.000438  2e-06  
382  0.52  -0.008  -0.000436  2e-06  
383  0.6  -0.0068  -0.000434  2e-06  
384  0.56  -0.0072  -0.000432  2e-06  
385  0.64  -0.0056  -0.00043  2e-06  
386  0.64  -0.006  -0.000428  2e-06  
387  0.6  -0.0048  -0.000426  2e-06  
388  0.6  -0.0056  -0.000424  2e-06  
389  0.68  -0.0044  -0.000422  2e-06  
390  0.64  -0.0044  -0.00042  2e-06  
391  0.72  -0.0036  -0.000418  2e-06  
392  0.72  -0.0036  -0.000416  2e-06  
393  0.72  -0.0028  -0.000414  2e-06  
394  0.72  -0.0032  -0.000412  2e-06  
395  0.76  -0.002  -0.00041  2e-06  
396  0.76  -0.0028  -0.000408  2e-06  
397  0.8  -0.0016  -0.000406  2e-06  
398  0.8  -0.002  -0.000404  2e-06  
399  0.88  -0.0008  -0.000402  2e-06  
400  0.84  -0.0012  -0.0004  2e-06  
401  0.92  0.0  -0.000398  2e-06  
402  0.84  -0.0004  -0.000396  2e-06  
403  0.92  0.0008  -0.000394  2e-06  
404  0.88  0.0  -0.000392  2e-06  
405  0.96  0.0008  -0.00039  2e-06  
406  0.92  0.0008  -0.000388  2e-06  
407  1.0  0.002  -0.000386  2e-06  
408  0.92  0.002  -0.000384  2e-06  
409  1.0  0.0012  -0.000382  2e-06  
410  0.96  0.002  -0.00038  2e-06  
411  1.04  0.0028  -0.000378  2e-06  
412  1.0  0.0024  -0.000376  2e-06  
413  1.08  0.0036  -0.000374  2e-06  
414  1.0  0.0032  -0.000372  2e-06  
415  1.08  0.004  -0.00037  2e-06  
416  1.04  0.0036  -0.000368  2e-06  
417  1.12  0.0044  -0.000366  2e-06  
418  1.08  0.004  -0.000364  2e-06  
419  1.16  0.0052  -0.000362  2e-06  
420  1.08  0.0044  -0.00036  2e-06  
421  1.16  0.0056  -0.000358  2e-06  
422  1.12  0.0052  -0.000356  2e-06  
423  1.2  0.006  -0.000354  2e-06  
424  1.16  0.0056  -0.000352  2e-06  
425  1.24  0.0064  -0.00035  2e-06  
426  1.16  0.006  -0.000348  2e-06  
427  1.24  0.0068  -0.000346  2e-06  
428  1.2  0.0064  -0.000344  2e-06  
429  1.28  0.0072  -0.000342  2e-06  
430  1.28  0.0068  -0.00034  2e-06  
431  1.2  0.0076  -0.000338  2e-06  
432  1.24  0.0076  -0.000336  2e-06  
433  1.32  0.0084  -0.000334  2e-06  
434  1.24  0.0076  -0.000332  2e-06  
435  1.36  0.0088  -0.00033  2e-06  
436  1.28  0.0084  -0.000328  2e-06  
437  1.36  0.0092  -0.000326  2e-06  
438  1.32  0.0088  -0.000324  2e-06  
439  1.4  0.0096  -0.000322  2e-06  
440  1.32  0.0092  -0.00032  2e-06  
441  1.4  0.01  -0.000318  2e-06  
442  1.32  0.0092  -0.000316  2e-06  
443  1.44  0.0104  -0.000314  2e-06  
444  1.36  0.0096  -0.000312  2e-06  
445  1.44  0.0104  -0.00031  2e-06  
446  1.44  0.01  -0.000308  2e-06  
447  1.36  0.0108  -0.000306  2e-06  
448  1.4  0.0104  -0.000304  2e-06  
449  1.48  0.0112  -0.000302  2e-06  
450  1.48  0.0108  -0.0003  2e-06  
451  1.4  0.0116  -0.000298  2e-06  
452  1.44  0.0108  -0.000296  2e-06  
453  1.52  0.012  -0.000294  2e-06  
454  1.52  0.012  -0.000292  2e-06  
455  1.44  0.0112  -0.00029  2e-06  
456  1.56  0.0124  -0.000288  2e-06  
457  1.48  0.0116  -0.000286  2e-06  
458  1.56  0.012  -0.000284  2e-06  
459  1.48  0.0128  -0.000282  2e-06  
460  1.52  0.0124  -0.00028  2e-06  
461  1.56  0.0132  -0.000278  2e-06  
462  1.6  0.0132  -0.000276  2e-06  
463  1.52  0.0124  -0.000274  2e-06  
464  1.6  0.0136  -0.000272  2e-06  
465  1.52  0.0128  -0.00027  2e-06  
466  1.6  0.0136  -0.000268  2e-06  
467  1.52  0.0128  -0.000266  2e-06  
468  1.56  0.0128  -0.000264  2e-06  
469  1.64  0.014  -0.000262  2e-06  
470  1.64  0.014  -0.00026  2e-06  
471  1.56  0.0132  -0.000258  2e-06  
472  1.56  0.014  -0.000256  2e-06  
473  1.64  0.0136  -0.000254  2e-06  
474  1.56  0.0136  -0.000252  2e-06  
475  1.64  0.0144  -0.00025  2e-06  
476  1.6  0.0144  -0.000248  2e-06  
477  1.68  0.014  -0.000246  2e-06  
478  1.68  0.014  -0.000244  2e-06  
479  1.6  0.0148  -0.000242  2e-06  
480  1.68  0.0148  -0.00024  2e-06  
481  1.6  0.014  -0.000238  2e-06  
482  1.68  0.0148  -0.000236  2e-06  
483  1.6  0.0144  -0.000234  2e-06  
484  1.68  0.0144  -0.000232  2e-06  
485  1.6  0.0152  -0.00023  2e-06  
486  1.68  0.0144  -0.000228  2e-06  
487  1.64  0.0152  -0.000226  2e-06  
488  1.68  0.0152  -0.000224  2e-06  
489  1.64  0.0144  -0.000222  2e-06  
490  1.68  0.0152  -0.00022  2e-06  
491  1.68  0.0148  -0.000218  2e-06  
492  1.64  0.0148  -0.000216  2e-06  
493  1.72  0.0152  -0.000214  2e-06  
494  1.68  0.0152  -0.000212  2e-06  
495  1.72  0.0148  -0.00021  2e-06  
496  1.68  0.0148  -0.000208  2e-06  
497  1.72  0.0152  -0.000206  2e-06  
498  1.68  0.0152  -0.000204  2e-06  
499  1.72  0.0148  -0.000202  2e-06  
500  1.68  0.0152  -0.0002  2e-06  
501  1.72  0.0144  -0.000198  2e-06  
502  1.72  0.0152  -0.000196  2e-06  
503  1.64  0.0148  -0.000194  2e-06  
504  1.68  0.0152  -0.000192  2e-06  
505  1.68  0.0144  -0.00019  2e-06  
506  1.68  0.0148  -0.000188  2e-06  
507  1.64  0.0152  -0.000186  2e-06  
508  1.68  0.0152  -0.000184  2e-06  
509  1.68  0.0144  -0.000182  2e-06  
510  1.68  0.0148  -0.00018  2e-06  
511  1.64  0.0144  -0.000178  2e-06  
512  1.68  0.0148  -0.000176  2e-06  
513  1.68  0.014  -0.000174  2e-06  
514  1.68  0.0144  -0.000172  2e-06  
515  1.6  0.0148  -0.00017  2e-06  
516  1.64  0.0148  -0.000168  2e-06  
517  1.6  0.0136  -0.000166  2e-06  
518  1.64  0.0144  -0.000164  2e-06  
519  1.6  0.0136  -0.000162  2e-06  
520  1.6  0.0144  -0.00016  2e-06  
521  1.64  0.0136  -0.000158  2e-06  
522  1.64  0.014  -0.000156  2e-06  
523  1.6  0.0132  -0.000154  2e-06  
524  1.64  0.014  -0.000152  2e-06  
525  1.56  0.0132  -0.00015  2e-06  
526  1.6  0.0136  -0.000148  2e-06  
527  1.56  0.0128  -0.000146  2e-06  
528  1.6  0.0136  -0.000144  2e-06  
529  1.56  0.0128  -0.000142  2e-06  
530  1.6  0.0128  -0.00014  2e-06  
531  1.56  0.0132  -0.000138  2e-06  
532  1.6  0.0124  -0.000136  2e-06  
533  1.52  0.0128  -0.000134  2e-06  
534  1.56  0.0128  -0.000132  2e-06  
535  1.52  0.012  -0.00013  2e-06  
536  1.52  0.0124  -0.000128  2e-06  
537  1.56  0.0116  -0.000126  2e-06  
538  1.56  0.0124  -0.000124  2e-06  
539  1.48  0.0116  -0.000122  2e-06  
540  1.52  0.012  -0.00012  2e-06  
541  1.48  0.0108  -0.000118  2e-06  
542  1.52  0.0116  -0.000116  2e-06  
543  1.48  0.0108  -0.000114  2e-06  
544  1.52  0.0112  -0.000112  2e-06  
545  1.44  0.0104  -0.00011  2e-06  
546  1.48  0.0108  -0.000108  2e-06  
547  1.44  0.01  -0.000106  2e-06  
548  1.48  0.0108  -0.000104  2e-06  
549  1.4  0.01  -0.000102  2e-06  
550  1.44  0.0096  -0.0001  2e-06  
551  1.4  0.0104  -9.8e-05  2e-06  
552  1.44  0.01  -9.6e-05  2e-06  
553  1.36  0.0092  -9.4e-05  2e-06  
554  1.36  0.0096  -9.2e-05  2e-06  
555  1.4  0.0088  -9e-05  2e-06  
556  1.4  0.0092  -8.8e-05  2e-06  
557  1.32  0.008  -8.6e-05  2e-06  
558  1.32  0.0088  -8.4e-05  2e-06  
559  1.4  0.008  -8.2e-05  2e-06  
560  1.36  0.0084  -8e-05  2e-06  
561  1.28  0.0072  -7.8e-05  2e-06  
562  1.32  0.008  -7.6e-05  2e-06  
563  1.28  0.0068  -7.4e-05  2e-06  
564  1.32  0.0076  -7.2e-05  2e-06  
565  1.24  0.0068  -7e-05  2e-06  
566  1.28  0.0072  -6.8e-05  2e-06  
567  1.24  0.006  -6.6e-05  2e-06  
568  1.28  0.0068  -6.4e-05  2e-06  
569  1.2  0.0056  -6.2e-05  2e-06  
570  1.2  0.006  -6e-05  2e-06  
571  1.24  0.0052  -5.8e-05  2e-06  
572  1.24  0.0056  -5.6e-05  2e-06  
573  1.16  0.0048  -5.4e-05  2e-06  
574  1.2  0.0052  -5.2e-05  2e-06  
575  1.12  0.004  -5e-05  2e-06  
576  1.12  0.0048  -4.8e-05  2e-06  
577  1.16  0.004  -4.6e-05  2e-06  
578  1.16  0.004  -4.4e-05  2e-06  
